LABEL,S,2E,lambda,Tc,kappa,K
t3014,5,24,1.3540543695183749,2.753044958956459,4.8,3
t3015,6,30,1.3978721245131085,2.8853900817682527,5.0,3
t3016,5,22,1.2632980201830604,2.5029721026568854,4.4,3
t3017,7,28,1.1518259529141814,2.2016743583729133,4.0,3
t3018,7,28,1.1517968097482831,2.2009156289494944,4.0,3
t3019,5,24,1.3594369815074874,2.7530449589722963,4.8,3
t3020,4,20,1.400727127412048,2.8853900817864275,5.0,3
t3021,5,26,1.443918009460299,3.023270000667051,5.2,3
t3022,14,56,1.150244198392453,2.187485394706756,4.0,3
t3023,9,44,1.3827354369010347,2.834668229245505,4.888888888888889,3
t3024,19,84,1.2576253288712027,2.447741362336305,4.421052631578948,3
t3025,8,34,1.2152376469104755,2.3445634145604703,4.25,3
t3026,24,96,1.1466919298007523,2.163947611192162,4.0,3
t3027,10,42,1.1914181894780351,2.239251081654273,4.2,3
t3028,10,40,1.1459512241334429,2.174813247707018,4.0,3
t3029,8,32,1.1393484332196098,2.1433194401000524,4.0,3
t3030,8,32,1.1422469130869584,2.1645527119805106,4.0,3
t3031,8,32,1.139069745276785,2.13914217465868,4.0,3
t3032,8,32,1.141981167552134,2.160674222012095,4.0,3
t3033,8,36,1.2750051641733149,2.4728524123878826,4.5,3
t3034,19,84,1.2560576388310567,2.435504947437577,4.421052631578948,3
t3035,30,126,1.18082313590535,2.1453437901174706,4.2,3
t3036,20,96,1.3510292885013218,2.6971356195585394,4.8,3
t3037,20,96,1.3539937721246025,2.743299299480237,4.8,3
t3038,10,48,1.3334078540720995,2.5966926362626963,4.8,3
t3039,6,24,1.1318429329339843,2.1147275969368584,4.0,3
t3040,5,24,1.3336260854050848,2.588395842074974,4.8,3
t3041,6,30,1.3816289736383258,2.734281325750692,5.0,3
t3042,13,60,1.29246843970286,2.485595246816542,4.615384615384615,3
t3043,10,48,1.3391648941733127,2.6215923861353545,4.8,3
t3044,7,36,1.4214003398633033,2.885390081768561,5.142857142857143,3
t3045,10,48,1.3414202227741543,2.634413910124816,4.8,3
t3046,5,24,1.3414200716592255,2.634413910140875,4.8,3
t3047,24,114,1.311691402349131,2.4397298374246192,4.75,3
t3048,21,96,1.2687103623524203,2.359646311383759,4.571428571428571,3
t3049,5,28,1.532801307132316,3.3177421789246493,5.6,3
